179, 2014-07-07, applied
27, 2014-07-07, hired
75, 2014-07-07, onboarding_completed
86, 2014-07-07, onboarding_requested
118, 2014-07-07, quiz_completed
167, 2014-07-07, quiz_started
612, 2014-07-07, applied
322, 2014-07-07, onboarding_requested
102, 2014-07-14, hired
191, 2014-07-14, onboarding_completed
377, 2014-07-14, quiz_completed
486, 2014-07-14, quiz_started
1005, 2014-07-21, applied
177, 2014-07-21, hired
344, 2014-07-21, onboarding_completed
484, 2014-07-21, onboarding_requested
707, 2014-07-21, quiz_completed
839, 2014-07-21, quiz_started
1396, 2014-07-28, applied
246, 2014-07-28, hired
475, 2014-07-28, onboarding_completed
671, 2014-07-28, onboarding_requested
944, 2014-07-28, quiz_completed
1213, 2014-07-28, quiz_started
619, 2014-07-28, onboarding_completed
1542, 2014-07-28, quiz_started
1820, 2014-08-04, applied
343, 2014-08-04, hired
918, 2014-08-04, onboarding_requested
1216, 2014-08-04, quiz_completed
1113, 2014-08-04, onboarding_requested
2230, 2014-08-11, applied
397, 2014-08-11, hired
759, 2014-08-11, onboarding_completed
1527, 2014-08-11, quiz_completed
1823, 2014-08-11, quiz_started
1328, 2014-08-11, onboarding_requested
2645, 2014-08-18, applied
437, 2014-08-18, hired
897, 2014-08-18, onboarding_completed
1777, 2014-08-18, quiz_completed
2143, 2014-08-18, quiz_started
3086, 2014-08-25, applied
514, 2014-08-25, hired
1017, 2014-08-25, onboarding_completed
1494, 2014-08-25, onboarding_requested
2163, 2014-08-25, quiz_completed
2551, 2014-08-25, quiz_started
2974, 2014-08-25, quiz_started
3479, 2014-09-01, applied
577, 2014-09-01, hired
1181, 2014-09-01, onboarding_completed
1699, 2014-09-01, onboarding_requested
2430, 2014-09-01, quiz_completed
3942, 2014-09-08, applied
665, 2014-09-08, hired
1273, 2014-09-08, onboarding_completed
1865, 2014-09-08, onboarding_requested
2706, 2014-09-08, quiz_completed
3290, 2014-09-08, quiz_started
4330, 2014-09-15, applied
762, 2014-09-15, hired
1428, 2014-09-15, onboarding_completed
2132, 2014-09-15, onboarding_requested
2855, 2014-09-15, quiz_completed
3573, 2014-09-15, quiz_started
4713, 2014-09-22, applied
774, 2014-09-22, hired
1575, 2014-09-22, onboarding_completed
2323, 2014-09-22, onboarding_requested
3170, 2014-09-22, quiz_completed
3975, 2014-09-22, quiz_started
5315, 2014-09-29, applied
814, 2014-09-29, hired
1677, 2014-09-29, onboarding_completed
2627, 2014-09-29, onboarding_requested
3450, 2014-09-29, quiz_completed
4315, 2014-09-29, quiz_started
4682, 2014-09-29, quiz_started
5659, 2014-10-06, applied
942, 2014-10-06, hired
1932, 2014-10-06, onboarding_completed
2962, 2014-10-06, onboarding_requested
3763, 2014-10-06, quiz_completed
6016, 2014-10-13, applied
992, 2014-10-13, hired
1978, 2014-10-13, onboarding_completed
3032, 2014-10-13, onboarding_requested
4029, 2014-10-13, quiz_completed
5000, 2014-10-13, quiz_started
2136, 2014-10-13, onboarding_completed
6315, 2014-10-20, applied
1065, 2014-10-20, hired
3220, 2014-10-20, onboarding_requested
4391, 2014-10-20, quiz_completed
5403, 2014-10-20, quiz_started
1115, 2014-10-20, hired
4560, 2014-10-20, quiz_completed
6827, 2014-10-27, applied
2291, 2014-10-27, onboarding_completed
3367, 2014-10-27, onboarding_requested
5642, 2014-10-27, quiz_started
7171, 2014-11-03, applied
1150, 2014-11-03, hired
2424, 2014-11-03, onboarding_completed
3703, 2014-11-03, onboarding_requested
4838, 2014-11-03, quiz_completed
5907, 2014-11-03, quiz_started
1294, 2014-11-03, hired
7532, 2014-11-10, applied
2581, 2014-11-10, onboarding_completed
3776, 2014-11-10, onboarding_requested
5044, 2014-11-10, quiz_completed
6417, 2014-11-10, quiz_started
8115, 2014-11-17, applied
1325, 2014-11-17, hired
2745, 2014-11-17, onboarding_completed
3908, 2014-11-17, onboarding_requested
5348, 2014-11-17, quiz_completed
6655, 2014-11-17, quiz_started
8514, 2014-11-24, applied
1449, 2014-11-24, hired
2866, 2014-11-24, onboarding_completed
4201, 2014-11-24, onboarding_requested
5688, 2014-11-24, quiz_completed
7180, 2014-11-24, quiz_started
8976, 2014-12-01, applied
1505, 2014-12-01, hired
3068, 2014-12-01, onboarding_completed
4412, 2014-12-01, onboarding_requested
5942, 2014-12-01, quiz_completed
7518, 2014-12-01, quiz_started
9190, 2014-12-08, applied
1489, 2014-12-08, hired
3061, 2014-12-08, onboarding_completed
4696, 2014-12-08, onboarding_requested
6171, 2014-12-08, quiz_completed
7745, 2014-12-08, quiz_started
9830, 2014-12-08, applied
1622, 2014-12-08, hired
3296, 2014-12-15, onboarding_completed
4799, 2014-12-15, onboarding_requested
6410, 2014-12-15, quiz_completed
8207, 2014-12-15, quiz_started
10120, 2014-12-22, applied
1658, 2014-12-22, hired
3337, 2014-12-22, onboarding_completed
5208, 2014-12-22, onboarding_requested
6714, 2014-12-22, quiz_completed
8463, 2014-12-22, quiz_started
3784, 2014-12-22, quiz_started
6117, 2014-12-29, applied
994, 2014-12-29, hired
2038, 2014-12-29, onboarding_completed
3169, 2014-12-29, onboarding_requested
4025, 2014-12-29, quiz_completed
5030, 2014-12-29, quiz_started
3055, 2014-12-29, applied
1566, 2014-12-29, onboarding_requested
4451, 2014-12-29, applied
707, 2014-12-29, hired
1438, 2014-12-29, onboarding_completed
2257, 2014-12-29, onboarding_requested
3054, 2014-12-29, quiz_completed
546, 2015-01-05, hired
1013, 2015-01-05, onboarding_completed
2038, 2015-01-05, quiz_completed
2640, 2015-01-05, quiz_started
